         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3469    0.048    0.000    0.184    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/permutations.py:831(__new__)
    19090    0.106    0.000    0.183    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/simplify/simplify.py:397(simplify)
    87588    0.050    0.000    0.177    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:333(ambient_dimension)
    18893    0.034    0.000    0.167    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:69(__add__)
      437    0.004    0.000    0.151    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/polygon.py:602(sides)
    43262    0.094    0.000    0.149    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/libmp/libmpf.py:410(from_float)
     1748    0.007    0.000    0.146    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:1605(__new__)
    43262    0.055    0.000    0.143    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/sympify.py:58(_is_numpy_instance)
135862/135180    0.099    0.000    0.139    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/cache.py:69(wrapper)
   151284    0.091    0.000    0.137    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:60(__len__)
    36259    0.059    0.000    0.136    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:1798(<listcomp>)
   148241    0.091    0.000    0.132    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:245(__len__)
  528/112    0.002    0.000    0.127    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/deprecation.py:384(wrapper)
    62605    0.031    0.000    0.126    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:304(<genexpr>)
    43948    0.037    0.000    0.112    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/entity.py:116(is_seq_and_not_point)
   609462    0.107    0.000    0.107    0.000 {method 'get' of 'dict' objects}
    62605    0.025    0.000    0.107    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:305(<genexpr>)
   133113    0.101    0.000    0.107    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:3017(a2idx)
    56679    0.042    0.000    0.106    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:152(<genexpr>)
        1    0.000    0.000    0.102    0.102 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/figure.py:2568(tight_layout)
        1    0.000    0.000    0.101    0.101 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/tight_layout.py:212(get_tight_layout_figure)
        1    0.000    0.000    0.100    0.100 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/tight_layout.py:19(auto_adjust_subplotpars)
        1    0.000    0.000    0.099    0.099 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:4097(get_tightbbox)
        2    0.000    0.000    0.095    0.048 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1096(get_tightbbox)
   531830    0.093    0.000    0.093    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:708(args)
     1748    0.005    0.000    0.093    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:2368(__new__)
    13812    0.034    0.000    0.091    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:312(__eq__)
    12444    0.025    0.000    0.088    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/utilities/iterables.py:2075(uniq)
     3086    0.010    0.000    0.087    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1819(is_upper)
     19/5    0.000    0.000    0.076    0.015 {built-in method builtins.exec}
    75708    0.048    0.000    0.076    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:66(__iter__)
     6172    0.011    0.000    0.074    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1861(<genexpr>)
    33926    0.030    0.000    0.073    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/evalf.py:1283(<lambda>)
     15/1    0.000    0.000    0.073    0.073 <frozen importlib._bootstrap>:966(_find_and_load)
     15/1    0.000    0.000    0.073    0.073 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     15/1    0.000    0.000    0.073    0.073 <frozen importlib._bootstrap>:651(_load_unlocked)
     15/1    0.000    0.000    0.073    0.073 <frozen importlib._bootstrap_external>:672(exec_module)
     15/1    0.000    0.000    0.072    0.072 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.072    0.072 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/__init__.py:1(<module>)
     3086    0.008    0.000    0.072    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:555(<listcomp>)
   228132    0.070    0.000    0.070    0.000 {built-in method __new__ of type object at 0x10f386ea8}
     6022    0.030    0.000    0.066    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/dense.py:135(_eval_extract)
    33932    0.035    0.000    0.066    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/libmp/libmpf.py:626(mpf_lt)
     3029    0.003    0.000    0.064    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1642(is_lower)
    19366    0.040    0.000    0.063    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2168(__add__)
     2266    0.019    0.000    0.062    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/reductions.py:54(cross_cancel)
     1748    0.005    0.000    0.062    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:69(__new__)
     6022    0.022    0.000    0.062    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/utilities/iterables.py:56(flatten)
     3029    0.007    0.000    0.060    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1260(_eval_is_lower)
17720/17718    0.036    0.000    0.059    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2209(__mul__)
    86552    0.056    0.000    0.056    0.000 {built-in method builtins.round}
        1    0.001    0.001    0.055    0.055 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/polyhedron.py:1(<module>)
    19812    0.016    0.000    0.054    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:239(__hash__)
    53266    0.029    0.000    0.054    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/libmp/libmpf.py:330(from_int)
     3086    0.007    0.000    0.054    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:324(<listcomp>)
    77849    0.053    0.000    0.053    0.000 {built-in method gmpy2._mpmath_create}
     6058    0.008    0.000    0.052    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1261(<genexpr>)
     9143    0.018    0.000    0.052    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:291(<listcomp>)
    13353    0.029    0.000    0.049    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/abc.py:180(__instancecheck__)
21602/3086    0.027    0.000    0.049    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:963(do)
   129786    0.048    0.000    0.048    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/sympify.py:64(<genexpr>)
       36    0.001    0.000    0.047    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/text.py:861(get_window_extent)
       84    0.047    0.001    0.047    0.001 {method 'call' of '_tkinter.tkapp' objects}
    83183    0.034    0.000    0.046    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2293(__hash__)
        4    0.000    0.000    0.046    0.012 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1016(_update_ticks)
        4    0.000    0.000    0.046    0.012 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1089(_get_tick_bboxes)
        4    0.000    0.000    0.046    0.012 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1091(<listcomp>)
105323/63518    0.029    0.000    0.045    0.000 {built-in method builtins.hash}
    43268    0.041    0.000    0.045    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/libmp/libmpf.py:574(mpf_cmp)
        1    0.000    0.000    0.044    0.044 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/figure.py:1415(subplots)
